source_file,record_index,epoch_tt2000,epoch_utc,channel,cdf_variable,baseline_method,baseline,robust_sigma,mean,std,sample_count
imap_idex_l1b_sci-10days_20251206_v003.cdf,135,818510673907323520,2025-12-09T00:03:24.723323520,Ion Grid,Ion_Grid,mean,1.5095499414062499,0.0005810923289060629,1.5095499414062499,0.0004751061440660557,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,15,819201784692519680,2025-12-17T00:01:55.508519680,TOF H,TOF_High,mean,0.14774658273293442,0.0009571409598486022,0.14774658273293442,0.0007755892128471906,8189
imap_idex_l1b_sci-10days_20251216_v003.cdf,15,819201784692519680,2025-12-17T00:01:55.508519680,TOF M,TOF_Mid,mean,5.794053266577116,0.012532813027232482,5.794053266577116,0.01121987645590652,8189
imap_idex_l1b_sci-10days_20251216_v003.cdf,15,819201784692519680,2025-12-17T00:01:55.508519680,TOF L,TOF_Low,mean,263.9516475760166,1.16183589620224,263.9516475760166,0.9265925888599391,8189
imap_idex_l1b_sci-10days_20251216_v003.cdf,15,819201784692519680,2025-12-17T00:01:55.508519680,Target H,Target_High,mean,333.16817968750007,0.005663995312431905,333.16817968750007,0.11874420601614215,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,15,819201784692519680,2025-12-17T00:01:55.508519680,Target L,Target_Low,mean,32607.496875000008,5.490253124989212,32607.496875000008,8.773619349183546,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,15,819201784692519680,2025-12-17T00:01:55.508519680,Ion Grid,Ion_Grid,mean,1.50965193359375,0.00037371365390653967,1.50965193359375,0.0004622051292746005,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,21,819201836692193024,2025-12-17T00:02:47.508193024,TOF H,TOF_High,mean,0.1477548055928685,0.0009693321719868553,0.1477548055928685,0.0007803964761396373,8189
imap_idex_l1b_sci-10days_20251216_v003.cdf,21,819201836692193024,2025-12-17T00:02:47.508193024,TOF M,TOF_Mid,mean,5.793958053486383,0.012391650098912372,5.793958053486383,0.011155522223289941,8189
imap_idex_l1b_sci-10days_20251216_v003.cdf,21,819201836692193024,2025-12-17T00:02:47.508193024,TOF L,TOF_Low,mean,263.9669627549152,1.1845421804372467,263.9669627549152,0.926187249984828,8189
